case_type,id,category,prompt,expected_answer,baseline_output,baseline_correct,baseline_latency_s,hybrid_v1_output,hybrid_v1_correct,hybrid_v1_latency_s,hybrid_v2_output,hybrid_v2_correct,hybrid_v2_latency_s,delta_latency_s,hybrid_v2_route,hybrid_v2_sym_expr,hybrid_v2_llm_answer,suggested_note
V2_FAIL,LOG70,LOG,"Answer with only Yes or No. If all birds can fly and a penguin is a bird, can you conclude a penguin can fly?",Yes,No,0,3.19455,No,0,4.43510,No,0,24.83410,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
V2_FAIL,LOG72,LOG,"Answer with only Yes or No. If all glips are glaps and no glaps are glups, can any glips be glups?",No,Yes,0,3.15900,Yes,0,4.54360,Yes,0,12.13860,,LLM_LOG_SELFCONSIST,,,Hybrid v2 fails (use as remaining weakness example; check LOG).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG13,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,10.26550,Yes,1,4.10910,Yes,1,30.18360,26.07450,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG23,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.16875,Yes,1,4.26120,Yes,1,29.22990,24.96870,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG33,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.15290,Yes,1,4.28140,Yes,1,29.14090,24.85950,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG73,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.16975,Yes,1,4.52100,Yes,1,28.82460,24.30360,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG63,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.16890,Yes,1,4.50060,Yes,1,28.74580,24.24520,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG93,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.07315,Yes,1,4.42170,Yes,1,28.65480,24.23310,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG43,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.18690,Yes,1,4.42950,Yes,1,28.60090,24.17140,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG53,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.30210,Yes,1,4.58930,Yes,1,28.45340,23.86410,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG83,LOG,"Answer with only Yes or No. If some targs are torgs and all torgs are turgs, does it follow that some targs are turgs?",Yes,Yes,1,3.09165,Yes,1,4.49850,Yes,1,28.15330,23.65480,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG29,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.72655,Yes,1,1.61330,Yes,1,12.32180,10.70850,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG38,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.72995,Yes,1,1.65120,Yes,1,12.31970,10.66850,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG69,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.67905,Yes,1,1.64450,Yes,1,12.29870,10.65420,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG39,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.70015,Yes,1,1.59850,Yes,1,12.21000,10.61150,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG59,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.68610,Yes,1,1.67920,Yes,1,12.25970,10.58050,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,ALG47,ALG,Answer with only the final number. Solve for x: 6(x + -1) = -42.,-6,-7,0,7.23005,-6,1,0.01140,-6,1,10.57670,10.56530,LLM+VERIFY_FAIL_FALLBACK_SYM,6(x + -1) = -42,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG58,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.75075,Yes,1,1.64730,Yes,1,12.18570,10.53840,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG49,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.72420,Yes,1,1.70060,Yes,1,12.15310,10.45250,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG48,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.71260,Yes,1,1.64450,Yes,1,12.00330,10.35880,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG89,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.67400,Yes,1,1.77890,Yes,1,12.09450,10.31560,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG28,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.67720,Yes,1,1.60690,Yes,1,11.92120,10.31430,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG88,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.69500,Yes,1,1.64860,Yes,1,11.91160,10.26300,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG99,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.66865,Yes,1,1.69790,Yes,1,11.95770,10.25980,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG79,LOG,"Answer with only Yes or No. If both P and Q are true, is P true?",Yes,Yes,1,1.64425,Yes,1,1.65200,Yes,1,11.90300,10.25100,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG78,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.73710,Yes,1,1.71520,Yes,1,11.89760,10.18240,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG68,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.67415,Yes,1,1.67590,Yes,1,11.82040,10.14450,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,ALG22,ALG,Answer with only the final number. Solve for x: 10(x + 1) = -170.,-18,-18,1,6.97130,-18,1,0.01170,-18,1,10.10300,10.09130,LLM+VERIFY_PASS,10(x + 1) = -170,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,LOG98,LOG,"Answer with only Yes or No. If either P or Q is true and Q is false, must P be true?",Yes,Yes,1,1.65850,Yes,1,1.68680,Yes,1,11.68620,9.99940,LLM_LOG_SELFCONSIST,,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,ALG27,ALG,Answer with only the final number. Solve for x: 7(x + 0) = -133.,-19,-22,0,6.78890,-19,1,0.00720,-19,1,10.00530,9.99810,LLM+VERIFY_FAIL_FALLBACK_SYM,7(x + 0) = -133,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,ALG41,ALG,Answer with only the final number. Solve for x: 10x + -30 = -120.,-9,-12,0,6.60265,-9,1,0.00780,-9,1,9.90190,9.89410,LLM+VERIFY_FAIL_FALLBACK_SYM,10x + -30 = -120,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
LATENCY_TRADEOFF_BOTH_CORRECT,ALG33,ALG,Answer with only the final number. Solve for x: (x + -13)/9 = -3.,-14,-6,0,6.60805,-14,1,0.01220,-14,1,9.75990,9.74770,LLM+VERIFY_FAIL_FALLBACK_SYM,(x + -13)/9 = -3,,Both correct; shows accuracy/latency tradeoff (v2 slower/faster).
