id,category,prompt,expected_answer
WP54,WP,Answer with only the final number. A vehicle travels 180 miles in 5 hours. What is its average speed in miles per hour?,36
WP55,WP,Answer with only the final number. A store sells 10 notebooks for $10. How much does 1 notebook cost?,1
WP56,WP,Answer with only the final number. A recipe needs 8 cups of flour per batch. How many cups for 11 batches?,88
WP57,WP,Answer with only the final number. There are 21 students. They form groups of 7. How many groups?,3
WP58,WP,Answer with only the final number. A tank holds 60 liters. 25% is used. How many liters remain?,45
WP59,WP,Answer with only the final number. You read 10 pages per day for 16 days. How many pages total?,160
WP60,WP,Answer with only the final number. An item costs $30. You pay with a $100 bill. How many dollars change do you get?,70
WP61,WP,Answer with only the final number. A pack has 18 items. How many items in 7 packs?,126
WP62,WP,Answer with only the final number. A rectangle has length 7 and width 14. What is its area?,98
WP63,WP,Answer with only the final number. You have 180 stickers and give away 49. How many remain?,131
WP64,WP,Answer with only the final number. A vehicle travels 90 miles in 2 hours. What is its average speed in miles per hour?,45
WP65,WP,Answer with only the final number. A store sells 4 notebooks for $12. How much does 1 notebook cost?,3
WP66,WP,Answer with only the final number. A recipe needs 4 cups of flour per batch. How many cups for 10 batches?,40
WP67,WP,Answer with only the final number. There are 36 students. They form groups of 9. How many groups?,4
WP68,WP,Answer with only the final number. A tank holds 40 liters. 10% is used. How many liters remain?,36
WP69,WP,Answer with only the final number. You read 20 pages per day for 6 days. How many pages total?,120
WP70,WP,Answer with only the final number. An item costs $7. You pay with a $100 bill. How many dollars change do you get?,93
WP71,WP,Answer with only the final number. A pack has 17 items. How many items in 10 packs?,170
WP72,WP,Answer with only the final number. A rectangle has length 16 and width 28. What is its area?,448
WP73,WP,Answer with only the final number. You have 110 stickers and give away 15. How many remain?,95
WP74,WP,Answer with only the final number. A vehicle travels 150 miles in 6 hours. What is its average speed in miles per hour?,25
WP75,WP,Answer with only the final number. A store sells 6 notebooks for $6. How much does 1 notebook cost?,1
WP76,WP,Answer with only the final number. A recipe needs 9 cups of flour per batch. How many cups for 7 batches?,63
WP77,WP,Answer with only the final number. There are 72 students. They form groups of 8. How many groups?,9
WP78,WP,Answer with only the final number. A tank holds 60 liters. 25% is used. How many liters remain?,45
WP79,WP,Answer with only the final number. You read 13 pages per day for 15 days. How many pages total?,195
WP80,WP,Answer with only the final number. An item costs $15. You pay with a $20 bill. How many dollars change do you get?,5
WP81,WP,Answer with only the final number. A pack has 11 items. How many items in 4 packs?,44
WP82,WP,Answer with only the final number. A rectangle has length 14 and width 24. What is its area?,336
WP83,WP,Answer with only the final number. You have 167 stickers and give away 129. How many remain?,38
WP84,WP,Answer with only the final number. A vehicle travels 120 miles in 3 hours. What is its average speed in miles per hour?,40
WP85,WP,Answer with only the final number. A store sells 6 notebooks for $36. How much does 1 notebook cost?,6
WP86,WP,Answer with only the final number. A recipe needs 3 cups of flour per batch. How many cups for 4 batches?,12
WP87,WP,Answer with only the final number. There are 54 students. They form groups of 6. How many groups?,9
WP88,WP,Answer with only the final number. A tank holds 150 liters. 60% is used. How many liters remain?,60
WP89,WP,Answer with only the final number. You read 13 pages per day for 7 days. How many pages total?,91
WP90,WP,Answer with only the final number. An item costs $9. You pay with a $50 bill. How many dollars change do you get?,41
WP91,WP,Answer with only the final number. A pack has 12 items. How many items in 4 packs?,48
WP92,WP,Answer with only the final number. A rectangle has length 8 and width 12. What is its area?,96
WP93,WP,Answer with only the final number. You have 84 stickers and give away 77. How many remain?,7
WP94,WP,Answer with only the final number. A vehicle travels 240 miles in 2 hours. What is its average speed in miles per hour?,120
WP95,WP,Answer with only the final number. A store sells 8 notebooks for $16. How much does 1 notebook cost?,2
WP96,WP,Answer with only the final number. A recipe needs 4 cups of flour per batch. How many cups for 8 batches?,32
WP97,WP,Answer with only the final number. There are 18 students. They form groups of 9. How many groups?,2
WP98,WP,Answer with only the final number. A tank holds 120 liters. 10% is used. How many liters remain?,108
WP99,WP,Answer with only the final number. You read 17 pages per day for 4 days. How many pages total?,68
WP100,WP,Answer with only the final number. An item costs $15. You pay with a $100 bill. How many dollars change do you get?,85
